# Sectioned map data CSV for London.
# Each section starts with its own header row.

[MAP]
section,map_type,display_name,background_image_path,destination_ticket_back_image_path
MAP,LONDON,London,/gamemap/londonMapBg.png,/DestinationTicket_London/DestinationCard.jpeg

[CITY]
section,map_type,city_id,city_name,x,y
CITY,LONDON,BAKER_STREET,Baker Street,245,215
CITY,LONDON,BRICK_LANE,Brick Lane,900,180
CITY,LONDON,BRITISH_MUSEUM,British Museum,420,285
CITY,LONDON,BUCKINGHAM_PALACE,Buckingham Palace,390,575
CITY,LONDON,BIG_BEN,Big Ben,560,565
CITY,LONDON,COVENT_GARDEN,Covent Garden,535,385
CITY,LONDON,ELEPHANT_AND_CASTLE,Elephant & Castle,880,585
CITY,LONDON,GLOBE_THEATRE,Globe Theatre,760,450
CITY,LONDON,HYDE_PARK,Hyde Park,150,540
CITY,LONDON,KING_CROSS,King's Cross,535,95
CITY,LONDON,PADDINGTON,Paddington,140,310
CITY,LONDON,PICCADILLY_CIRCUS,Piccadilly Circus,295,390
CITY,LONDON,REGENT_PADDINGTON,Regent's Park,200,105
CITY,LONDON,ST_PAULS,St. Paul's,710,320
CITY,LONDON,THE_CHARTERHOUSE,The Charterhouse,665,220
CITY,LONDON,TOWER_OF_LONDON,Tower of London,915,360
CITY,LONDON,TRAFALGAR_SQUARE,Trafalgar Square,490,450
CITY,LONDON,WATERLOO,Waterloo,660,510

[ROUTE]
section,map_type,route_id,city_a_id,city_b_id,length,color,claimable_type,locomotive_count
ROUTE,LONDON,R01,REGENT_PADDINGTON,BAKER_STREET,2,BLUE,ROUTE,0
ROUTE,LONDON,R02,REGENT_PADDINGTON,BAKER_STREET,2,YELLOW,ROUTE,0
ROUTE,LONDON,R03,BAKER_STREET,BRITISH_MUSEUM,3,ORANGE,ROUTE,0
ROUTE,LONDON,R04,BAKER_STREET,BRITISH_MUSEUM,3,RED,ROUTE,0
ROUTE,LONDON,R05,PADDINGTON,HYDE_PARK,3,BLACK,ROUTE,0
ROUTE,LONDON,R06,PADDINGTON,HYDE_PARK,3,GREEN,ROUTE,0
ROUTE,LONDON,R07,HYDE_PARK,BUCKINGHAM_PALACE,2,ORANGE,ROUTE,0
ROUTE,LONDON,R08,HYDE_PARK,BUCKINGHAM_PALACE,2,YELLOW,ROUTE,0
ROUTE,LONDON,R09,BRITISH_MUSEUM,COVENT_GARDEN,2,BLACK,ROUTE,0
ROUTE,LONDON,R10,BRITISH_MUSEUM,COVENT_GARDEN,2,PURPLE,ROUTE,0
ROUTE,LONDON,R11,COVENT_GARDEN,ST_PAULS,3,GRAY,ROUTE,0
ROUTE,LONDON,R12,COVENT_GARDEN,ST_PAULS,3,RED,ROUTE,0
ROUTE,LONDON,R13,ST_PAULS,TOWER_OF_LONDON,4,ORANGE,ROUTE,0
ROUTE,LONDON,R14,ST_PAULS,TOWER_OF_LONDON,4,YELLOW,ROUTE,0
